name,size,cost,discount,original_name,original_price
Baguette and Round Composite Diamond Bypass Ring in 10K Gold, 1/2 CT. T.W., $529.99, 21%, 1/2 CT. T.W. Baguette and Round Composite Diamond Bypass Ring in 10K Gold, $529.99  (21% off)
Enchanted Disney Aurora  Diamond Promise Ring in 10K Two-Tone Gold, 1/6 CT. T.W., $649.99, 21%, Enchanted Disney Aurora 1/6 CT. T.W. Diamond Promise Ring in 10K Two-Tone Gold, $649.99  (21% off)
Diamond Double Heart Ring in 10K Rose Gold, 1/10 CT. T.W., $209.99, 22%, 1/10 CT. T.W. Diamond Double Heart Ring in 10K Rose Gold, $209.99  (22% off)
Enchanted Disney Belle  Diamond Rose Split Shank Ring in Sterling Silver and 10K Rose Gold, 1/5 CT. T.W., $499.99, 21%, Enchanted Disney Belle 1/5 CT. T.W. Diamond Rose Split Shank Ring in Sterling Silver and 10K Rose Gold, $499.99  (21% off)
Diamond Twist Vintage-Style Band in 10K Rose Gold, 1/10 CT. T.W., $269.99, 20%, 1/10 CT. T.W. Diamond Twist Vintage-Style Band in 10K Rose Gold, $269.99  (20% off)
Diamond Frame Multi-Row Split Shank Ring in Sterling Silver, 1/15 CT. T.W., $149.99, 25%, 1/15 CT. T.W. Diamond Frame Multi-Row Split Shank Ring in Sterling Silver, $149.99  (25% off)
Blue Sapphire Bead Shank Ring in 10K Gold, 5.0mm, $149.99, 25%, 5.0mm Blue Sapphire Bead Shank Ring in 10K Gold, $149.99  (25% off)
Wonder Woman™ 80th Anniversary Multi-Gemstone and  Diamond Ring in Sterling Silver and 10K Gold, 1/5 CT. T.W., $499.99, 21%, Wonder Woman™ 80th Anniversary Multi-Gemstone and 1/5 CT. T.W. Diamond Ring in Sterling Silver and 10K Gold, $499.99  (21% off)
Diamond Past Present Future® Promise Ring in 10K Rose Gold, 1/4 CT. T.W., $639.99, 20%, 1/4 CT. T.W. Diamond Past Present Future® Promise Ring in 10K Rose Gold, $639.99  (20% off)
Diamond Crossover Split Shank Ring in 10K White Gold, 1/5 CT. T.W., $369.99, 21%, 1/5 CT. T.W. Diamond Crossover Split Shank Ring in 10K White Gold, $369.99  (21% off)
Composite Diamond Seven Stone Ring in 10K White Gold, 1/4 CT. T.W., $429.99, 20%, 1/4 CT. T.W. Composite Diamond Seven Stone Ring in 10K White Gold, $429.99  (20% off)
Princess-Cut Diamond Band in 14K White Gold, 1/2 CT. T.W., $1099.99, 20%, 1/2 CT. T.W. Princess-Cut Diamond Band in 14K White Gold, $1099.99  (20% off)
Diamond Cluster Pyramid Band in 10K White Gold, 1 CT. T.W., $899.99, 20%, 1 CT. T.W. Diamond Cluster Pyramid Band in 10K White Gold, $899.99  (20% off)
Enchanted Disney Mulan  Diamond Flower Stackable Band Set in Sterling Silver and 10K Rose Gold, 1/10 CT. T.W., $349.99, 0, Enchanted Disney Mulan 1/10 CT. T.W. Diamond Flower Stackable Band Set in Sterling Silver and 10K Rose Gold, Now  $349.99
Enchanted Disney Villains Maleficent  Enhanced Black Diamond Ring in Sterling Silver with Black Rhodium, 1/4 CT. T.W., $249.99, 0, Enchanted Disney Villains Maleficent 1/4 CT. T.W. Enhanced Black Diamond Ring in Sterling Silver with Black Rhodium, Now  $249.99
Vera Wang Love Collection Blue Sapphire and  Diamond Contour Wedding Band in 14K White Gold, 1/15 CT. T.W., $599.99, 0, Vera Wang Love Collection Blue Sapphire and 1/15 CT. T.W. Diamond Contour Wedding Band in 14K White Gold, $599.99
Enchanted Disney Jasmine Swiss Blue Topaz and  Diamond Ring in Sterling Silver and 10K Gold, 1/5 CT. T.W., $499.99, 0, Enchanted Disney Jasmine Swiss Blue Topaz and 1/5 CT. T.W. Diamond Ring in Sterling Silver and 10K Gold, Now  $499.99
Wonder Woman™ Collection  Diamond Princess Tiara Ring in 10K Gold, 1/10 CT. T.W., $349.99, 20%, Wonder Woman™ Collection 1/10 CT. T.W. Diamond Princess Tiara Ring in 10K Gold, $349.99  (20% off)
Diamond Accent Interlocking Infinity and Heart Ring in Sterling Silver and 10K Gold, Na, $139.99, 22%, Diamond Accent Interlocking Infinity and Heart Ring in Sterling Silver and 10K Gold, $139.99  (22% off)
Composite Diamond Heart Frame Vintage-Style Ring in Sterling Silver, 1/4 CT. T.W., $309.99, 22%, 1/4 CT. T.W. Composite Diamond Heart Frame Vintage-Style Ring in Sterling Silver, $309.99  (22% off)
Enchanted Disney Villains Jafar  Diamond Snake Bypass Ring in Sterling Silver with Black Rhodium, 1/6 CT. T.W., $349.99, 0, Enchanted Disney Villains Jafar 1/6 CT. T.W. Diamond Snake Bypass Ring in Sterling Silver with Black Rhodium, Now  $349.99
Diamond Crossover Arrow Ring in Sterling Silver, 1/20 CT. T.W., $59.99, 25%, 1/20 CT. T.W. Diamond Crossover Arrow Ring in Sterling Silver, $59.99  (25% off)
Diamond Infinity Ring in 10K White Gold, 1/6 CT. T.W., $269.99, 20%, 1/6 CT. T.W. Diamond Infinity Ring in 10K White Gold, $269.99  (20% off)
Diamond Heart Adjustable Ring in 10K Rose Gold - Size 7, 1/20 CT. T.W., $149.99, 25%, 1/20 CT. T.W. Diamond Heart Adjustable Ring in 10K Rose Gold - Size 7, $149.99  (25% off)
Diamond Orbit Split Shank Ring in 10K Gold, 1/2 CT. T.W., $689.99, 21%, 1/2 CT. T.W. Diamond Orbit Split Shank Ring in 10K Gold, $689.99  (21% off)
